EmployeeID,Department,JobRole,EngagementScore,JobSatisfaction,WorkLifeBalance,EngagementCategory
205,Sales,Sales Representative,82,3,1,High
206,Research & Development,Laboratory Technician,67,2,1,Medium
207,Sales,Sales Executive,98,4,3,High
208,Research & Development,Manufacturing Director,98,3,3,High
211,Research & Development,Manufacturing Director,98,3,3,High
214,Research & Development,Research Scientist,77,2,2,High
215,Sales,Sales Executive,98,4,2,High
216,Sales,Sales Representative,94,3,3,High
217,Research & Development,Research Scientist,98,4,3,High
218,Research & Development,Research Scientist,62,2,1,Medium
221,Research & Development,Research Scientist,98,4,1,High
223,Research & Development,Healthcare Representative,98,4,1,High
224,Research & Development,Research Scientist,88,3,2,High
226,Research & Development,Manager,78,2,3,High
227,Research & Development,Research Scientist,98,3,3,High
228,Sales,Sales Executive,98,4,3,High
230,Sales,Sales Executive,98,4,4,High
231,Research & Development,Research Scientist,98,3,3,High
233,Research & Development,Research Scientist,68,2,2,Medium
235,Sales,Sales Representative,68,1,4,Medium
238,Research & Development,Laboratory Technician,68,2,2,Medium
239,Research & Development,Laboratory Technician,62,1,3,Medium
240,Sales,Sales Executive,82,1,4,High
241,Research & Development,Research Scientist,71,1,3,Medium
242,Research & Development,Research Scientist,98,4,4,High
243,Research & Development,Laboratory Technician,98,4,2,High
244,Sales,Sales Executive,62,1,3,Medium
245,Research & Development,Laboratory Technician,98,4,3,High
246,Research & Development,Research Scientist,98,4,3,High
247,Research & Development,Research Scientist,90,2,3,High
248,Sales,Sales Representative,79,2,2,High
249,Research & Development,Laboratory Technician,90,3,2,High
250,Research & Development,Manufacturing Director,68,1,3,Medium
252,Research & Development,Research Scientist,84,2,3,High
253,Research & Development,Manager,98,3,3,High
254,Research & Development,Research Director,90,2,3,High
256,Research & Development,Manufacturing Director,93,3,2,High
258,Research & Development,Healthcare Representative,85,2,3,High
259,Research & Development,Manager,98,3,3,High
260,Research & Development,Research Scientist,78,2,2,High
261,Research & Development,Manufacturing Director,96,3,3,High
262,Research & Development,Research Scientist,98,4,4,High
264,Research & Development,Manager,98,4,3,High
267,Research & Development,Research Scientist,48,1,2,Low
269,Research & Development,Laboratory Technician,79,2,3,High
270,Research & Development,Manufacturing Director,98,3,3,High
271,Research & Development,Manufacturing Director,97,3,3,High
273,Research & Development,Manufacturing Director,98,4,1,High
274,Research & Development,Manufacturing Director,62,1,3,Medium
275,Research & Development,Manufacturing Director,98,4,3,High
277,Research & Development,Research Scientist,98,3,4,High
281,Research & Development,Laboratory Technician,98,4,4,High
282,Research & Development,Healthcare Representative,72,1,3,Medium
283,Sales,Sales Executive,98,4,2,High
284,Research & Development,Research Scientist,78,2,2,High
286,Research & Development,Laboratory Technician,98,4,3,High
287,Research & Development,Healthcare Representative,98,4,1,High
288,Research & Development,Healthcare Representative,64,1,3,Medium
291,Sales,Sales Executive,98,4,2,High
292,Research & Development,Manufacturing Director,96,3,3,High
293,Sales,Sales Executive,98,3,3,High
296,Research & Development,Research Director,67,2,1,Medium
297,Research & Development,Research Scientist,59,1,3,Medium
298,Sales,Manager,98,4,3,High
299,Sales,Sales Executive,60,1,2,Medium
300,Research & Development,Research Scientist,97,3,2,High
302,Sales,Sales Executive,98,4,3,High
303,Sales,Sales Executive,62,1,3,Medium
304,Research & Development,Laboratory Technician,91,2,4,High
305,Research & Development,Research Scientist,87,2,3,High
306,Research & Development,Research Director,98,4,3,High
307,Sales,Sales Executive,95,3,2,High
308,Research & Development,Manufacturing Director,98,3,3,High
309,Research & Development,Research Scientist,98,4,3,High
311,Sales,Sales Representative,98,4,3,High
312,Sales,Sales Executive,98,4,3,High
314,Sales,Sales Executive,98,3,4,High
315,Research & Development,Research Scientist,98,4,2,High
316,Research & Development,Laboratory Technician,98,4,2,High
319,Research & Development,Manager,98,4,3,High
321,Human Resources,Human Resources,92,3,2,High
323,Sales,Manager,98,4,2,High
325,Research & Development,Laboratory Technician,98,4,1,High
327,Sales,Manager,98,4,3,High
328,Research & Development,Laboratory Technician,68,1,4,Medium
329,Sales,Manager,98,3,4,High
330,Sales,Sales Representative,86,2,3,High
331,Research & Development,Laboratory Technician,87,3,1,High
332,Research & Development,Laboratory Technician,98,3,3,High
333,Sales,Sales Executive,98,4,3,High
334,Research & Development,Research Scientist,60,1,2,Medium
335,Research & Development,Research Scientist,98,4,3,High
336,Research & Development,Manager,98,4,3,High
337,Research & Development,Research Director,98,3,3,High
338,Research & Development,Research Scientist,98,4,2,High
339,Research & Development,Manufacturing Director,65,1,3,Medium
340,Research & Development,Research Scientist,58,1,2,Medium
341,Research & Development,Manufacturing Director,98,3,3,High
342,Research & Development,Manufacturing Director,98,3,3,High
343,Research & Development,Healthcare Representative,98,3,3,High
346,Research & Development,Research Scientist,98,4,3,High
347,Research & Development,Research Scientist,60,1,3,Medium
349,Sales,Sales Executive,98,4,3,High
350,Research & Development,Manufacturing Director,98,3,3,High
351,Research & Development,Laboratory Technician,65,1,3,Medium
352,Research & Development,Research Director,98,3,3,High
353,Research & Development,Research Scientist,98,4,2,High
355,Research & Development,Laboratory Technician,91,2,4,High
359,Research & Development,Laboratory Technician,63,2,1,Medium
361,Sales,Sales Executive,98,4,3,High
362,Research & Development,Laboratory Technician,61,1,3,Medium
363,Sales,Manager,66,2,2,Medium
364,Research & Development,Laboratory Technician,87,3,1,High
366,Sales,Sales Executive,76,2,3,High
367,Research & Development,Healthcare Representative,98,4,3,High
369,Research & Development,Healthcare Representative,61,1,3,Medium
372,Research & Development,Healthcare Representative,98,4,3,High
373,Research & Development,Laboratory Technician,98,4,3,High
374,Research & Development,Manager,64,1,3,Medium
376,Research & Development,Manager,67,2,2,Medium
377,Research & Development,Research Scientist,98,4,2,High
378,Sales,Sales Executive,98,4,4,High
379,Research & Development,Research Scientist,98,3,4,High
380,Research & Development,Research Director,98,4,3,High
381,Research & Development,Manager,73,2,2,Medium
382,Sales,Sales Executive,58,1,3,Medium
384,Research & Development,Manufacturing Director,66,2,1,Medium
385,Research & Development,Research Director,66,2,2,Medium
386,Research & Development,Research Director,85,3,2,High
387,Sales,Sales Executive,95,3,3,High
388,Sales,Sales Executive,98,4,2,High
389,Research & Development,Laboratory Technician,98,4,3,High
390,Research & Development,Healthcare Representative,64,1,3,Medium
391,Research & Development,Research Scientist,98,4,3,High
392,Research & Development,Laboratory Technician,74,3,1,Medium
393,Research & Development,Healthcare Representative,98,4,3,High
394,Research & Development,Laboratory Technician,78,2,3,High
395,Research & Development,Research Scientist,98,4,3,High
396,Research & Development,Research Director,59,1,3,Medium
397,Research & Development,Research Scientist,80,2,3,High
399,Sales,Sales Representative,77,2,2,High
401,Sales,Sales Executive,98,4,3,High
403,Research & Development,Research Scientist,98,4,2,High
404,Sales,Sales Executive,92,2,4,High
405,Research & Development,Laboratory Technician,97,3,3,High
406,Sales,Sales Executive,72,2,2,Medium
407,Research & Development,Laboratory Technician,98,4,3,High
408,Research & Development,Manufacturing Director,83,2,3,High
410,Sales,Manager,86,2,3,High
411,Sales,Sales Representative,94,3,3,High
412,Research & Development,Healthcare Representative,72,1,3,Medium
416,Sales,Sales Executive,98,4,2,High
417,Research & Development,Healthcare Representative,98,4,2,High
419,Research & Development,Laboratory Technician,80,2,3,High
420,Sales,Sales Executive,87,3,2,High
421,Research & Development,Research Director,77,2,3,High
422,Research & Development,Healthcare Representative,98,3,3,High
423,Research & Development,Research Scientist,98,4,3,High
424,Human Resources,Human Resources,68,1,3,Medium
425,Research & Development,Laboratory Technician,72,1,3,Medium
426,Research & Development,Research Scientist,92,4,1,High
428,Research & Development,Manager,84,2,3,High
429,Research & Development,Manager,69,1,3,Medium
430,Research & Development,Laboratory Technician,98,4,3,High
431,Research & Development,Healthcare Representative,98,3,3,High
433,Research & Development,Research Scientist,78,2,2,High
434,Research & Development,Research Scientist,68,2,2,Medium
436,Sales,Sales Executive,79,2,3,High
437,Sales,Sales Executive,98,3,3,High
438,Sales,Sales Executive,98,4,3,High
439,Research & Development,Research Scientist,98,4,2,High
440,Research & Development,Research Scientist,98,4,2,High
441,Research & Development,Research Scientist,98,4,3,High
442,Research & Development,Manufacturing Director,96,3,3,High
444,Research & Development,Manager,98,4,3,High
445,Sales,Sales Executive,86,3,2,High
446,Sales,Sales Executive,98,4,2,High
447,Research & Development,Research Director,98,3,3,High
448,Research & Development,Laboratory Technician,98,3,4,High
449,Sales,Sales Executive,84,2,3,High
450,Research & Development,Research Scientist,84,3,2,High
451,Research & Development,Healthcare Representative,55,1,2,Medium
452,Research & Development,Research Scientist,98,4,3,High
453,Sales,Sales Executive,98,4,2,High
454,Research & Development,Laboratory Technician,55,1,2,Medium
455,Research & Development,Laboratory Technician,98,4,3,High
456,Sales,Sales Executive,98,3,3,High
458,Sales,Sales Executive,87,2,3,High
460,Research & Development,Manufacturing Director,98,4,2,High
461,Research & Development,Research Director,98,4,3,High
462,Research & Development,Manufacturing Director,98,4,2,High
463,Sales,Sales Executive,82,2,3,High
464,Research & Development,Manufacturing Director,90,2,3,High
465,Research & Development,Research Scientist,98,4,2,High
466,Research & Development,Manufacturing Director,85,2,3,High
467,Sales,Sales Representative,96,3,3,High
468,Research & Development,Research Director,98,4,3,High
469,Sales,Sales Executive,95,3,2,High
470,Human Resources,Human Resources,98,3,3,High
471,Research & Development,Laboratory Technician,84,2,3,High
473,Sales,Manager,77,3,1,High
474,Research & Development,Research Scientist,69,1,3,Medium
475,Sales,Sales Executive,98,3,4,High
476,Sales,Sales Executive,95,3,3,High
477,Research & Development,Healthcare Representative,98,4,3,High
478,Sales,Sales Representative,89,2,3,High
479,Sales,Sales Executive,98,4,3,High
481,Sales,Sales Executive,98,4,3,High
482,Research & Development,Healthcare Representative,98,3,3,High
483,Research & Development,Laboratory Technician,98,3,3,High
484,Sales,Sales Representative,98,4,2,High
485,Sales,Sales Representative,98,3,3,High
486,Research & Development,Laboratory Technician,66,1,3,Medium
487,Research & Development,Manufacturing Director,98,3,4,High
488,Sales,Sales Executive,78,2,3,High
491,Research & Development,Healthcare Representative,98,4,3,High
492,Sales,Sales Executive,97,3,3,High
493,Research & Development,Research Scientist,83,2,3,High
494,Sales,Sales Representative,81,2,3,High
495,Research & Development,Research Scientist,98,4,3,High
496,Research & Development,Healthcare Representative,76,2,3,High
497,Research & Development,Laboratory Technician,83,2,3,High
498,Sales,Sales Executive,98,4,3,High
499,Research & Development,Healthcare Representative,98,3,3,High
500,Sales,Sales Executive,98,4,2,High
501,Research & Development,Research Scientist,98,3,3,High
502,Sales,Sales Executive,98,4,2,High
505,Research & Development,Manager,98,4,3,High
507,Sales,Sales Executive,98,3,4,High
508,Sales,Sales Representative,79,2,3,High
510,Research & Development,Research Scientist,71,1,3,Medium
511,Research & Development,Research Scientist,78,2,3,High
513,Sales,Sales Executive,98,3,3,High
514,Research & Development,Research Scientist,98,4,3,High
515,Research & Development,Laboratory Technician,50,1,2,Low
516,Sales,Sales Executive,84,2,3,High
517,Research & Development,Laboratory Technician,70,1,3,Medium
518,Research & Development,Manufacturing Director,67,2,2,Medium
520,Research & Development,Research Director,89,2,3,High
521,Research & Development,Laboratory Technician,95,3,3,High
522,Research & Development,Research Director,49,1,2,Low
523,Sales,Sales Executive,98,3,3,High
524,Research & Development,Manufacturing Director,40,1,1,Low
525,Research & Development,Laboratory Technician,98,4,3,High
526,Research & Development,Healthcare Representative,98,3,3,High
527,Sales,Sales Executive,98,4,3,High
529,Research & Development,Research Scientist,94,3,3,High
530,Research & Development,Laboratory Technician,61,1,3,Medium
531,Research & Development,Manager,94,3,3,High
532,Sales,Sales Executive,61,1,2,Medium
533,Sales,Sales Executive,98,3,3,High
534,Sales,Sales Executive,61,1,3,Medium
536,Research & Development,Laboratory Technician,65,1,3,Medium
538,Research & Development,Laboratory Technician,65,1,3,Medium
543,Research & Development,Manufacturing Director,98,3,3,High
544,Research & Development,Research Scientist,98,4,2,High
546,Research & Development,Manager,92,4,1,High
547,Research & Development,Research Scientist,94,3,3,High
548,Research & Development,Manufacturing Director,98,4,3,High
549,Research & Development,Manager,48,1,1,Low
550,Research & Development,Manufacturing Director,86,3,2,High
551,Research & Development,Healthcare Representative,98,4,4,High
554,Sales,Sales Representative,82,2,3,High
555,Sales,Sales Representative,89,3,2,High
556,Research & Development,Laboratory Technician,98,4,3,High
558,Sales,Manager,98,3,3,High
560,Research & Development,Research Scientist,97,4,1,High
562,Research & Development,Laboratory Technician,97,4,1,High
564,Research & Development,Research Director,98,3,3,High
565,Research & Development,Research Scientist,88,2,4,High
566,Human Resources,Human Resources,98,4,4,High
567,Sales,Sales Executive,65,1,3,Medium
568,Sales,Manager,98,4,2,High
569,Research & Development,Manager,98,3,3,High
571,Research & Development,Laboratory Technician,98,4,2,High
573,Sales,Sales Executive,72,1,4,Medium
574,Research & Development,Manufacturing Director,98,4,3,High
575,Research & Development,Research Director,74,3,1,Medium
577,Research & Development,Laboratory Technician,98,3,3,High
578,Research & Development,Laboratory Technician,98,3,3,High
579,Research & Development,Research Scientist,94,3,3,High
580,Sales,Sales Executive,98,4,3,High
581,Research & Development,Manufacturing Director,97,2,4,High
582,Research & Development,Manager,98,3,4,High
584,Research & Development,Laboratory Technician,98,4,3,High
585,Sales,Sales Representative,79,2,3,High
586,Research & Development,Healthcare Representative,96,3,3,High
587,Research & Development,Healthcare Representative,94,3,3,High
590,Human Resources,Human Resources,58,1,3,Medium
591,Research & Development,Laboratory Technician,98,3,3,High
592,Sales,Sales Executive,98,4,2,High
593,Research & Development,Laboratory Technician,98,3,3,High
595,Sales,Sales Executive,98,4,3,High
597,Sales,Manager,89,2,3,High
599,Sales,Sales Executive,98,4,3,High
600,Sales,Sales Executive,98,3,3,High
601,Research & Development,Manufacturing Director,96,3,3,High
602,Research & Development,Laboratory Technician,98,3,3,High
604,Sales,Sales Executive,98,4,4,High
605,Research & Development,Manufacturing Director,52,1,2,Medium
606,Sales,Sales Executive,93,2,4,High
608,Human Resources,Human Resources,96,3,2,High
611,Research & Development,Manufacturing Director,98,4,4,High
612,Research & Development,Research Director,98,3,3,High
613,Sales,Manager,98,4,2,High
614,Sales,Sales Representative,90,2,3,High
615,Sales,Sales Executive,60,1,3,Medium
616,Research & Development,Healthcare Representative,98,3,3,High
618,Sales,Sales Executive,94,3,3,High
620,Sales,Sales Executive,97,3,3,High
621,Sales,Sales Executive,98,4,3,High
622,Research & Development,Laboratory Technician,98,4,1,High
623,Research & Development,Manufacturing Director,98,4,4,High
624,Research & Development,Healthcare Representative,90,3,2,High
625,Sales,Manager,58,1,3,Medium
626,Sales,Sales Executive,78,2,3,High
630,Research & Development,Research Scientist,59,1,3,Medium
631,Sales,Sales Executive,98,3,3,High
632,Sales,Sales Representative,98,4,3,High
634,Research & Development,Healthcare Representative,98,3,3,High
635,Research & Development,Manufacturing Director,71,2,2,Medium
638,Research & Development,Research Director,98,3,3,High
639,Research & Development,Research Scientist,98,4,3,High
641,Sales,Sales Executive,93,2,4,High
643,Research & Development,Laboratory Technician,89,2,3,High
644,Human Resources,Manager,83,2,3,High
645,Sales,Sales Representative,95,3,3,High
647,Research & Development,Laboratory Technician,98,3,3,High
648,Sales,Sales Representative,73,1,4,Medium
649,Research & Development,Research Scientist,98,4,3,High
650,Sales,Sales Executive,39,1,1,Low
652,Research & Development,Laboratory Technician,98,4,3,High
653,Sales,Sales Executive,98,4,4,High
655,Research & Development,Research Scientist,93,3,2,High
656,Sales,Sales Executive,85,3,2,High
657,Research & Development,Research Scientist,95,2,4,High
659,Research & Development,Healthcare Representative,98,4,3,High
661,Research & Development,Research Director,98,4,2,High
662,Research & Development,Research Scientist,48,1,2,Low
663,Research & Development,Laboratory Technician,98,3,3,High
664,Research & Development,Manager,48,1,1,Low
665,Human Resources,Human Resources,98,3,4,High
666,Sales,Sales Representative,98,3,3,High
667,Sales,Sales Representative,70,1,3,Medium
669,Sales,Sales Representative,98,3,3,High
671,Research & Development,Manager,98,4,4,High
675,Research & Development,Research Scientist,98,3,3,High
677,Sales,Sales Executive,96,3,3,High
679,Research & Development,Research Scientist,98,4,2,High
680,Research & Development,Research Scientist,98,3,3,High
682,Sales,Sales Executive,75,1,4,Medium
683,Research & Development,Research Scientist,98,4,2,High
684,Sales,Sales Executive,69,1,3,Medium
686,Research & Development,Laboratory Technician,98,4,3,High
689,Research & Development,Manufacturing Director,98,3,3,High
690,Sales,Sales Executive,92,3,2,High
691,Research & Development,Research Scientist,98,4,3,High
692,Research & Development,Healthcare Representative,98,4,1,High
698,Human Resources,Human Resources,89,2,4,High
699,Research & Development,Manufacturing Director,76,2,3,High
700,Research & Development,Research Scientist,98,4,3,High
701,Research & Development,Research Scientist,98,3,3,High
702,Research & Development,Research Scientist,71,1,3,Medium
704,Research & Development,Laboratory Technician,98,3,3,High
705,Research & Development,Research Scientist,70,1,4,Medium
707,Sales,Sales Executive,82,2,3,High
709,Sales,Sales Executive,98,4,3,High
710,Research & Development,Research Scientist,98,4,3,High
712,Sales,Sales Executive,77,2,3,High
714,Sales,Sales Executive,98,4,3,High
715,Research & Development,Research Scientist,98,4,3,High
716,Research & Development,Laboratory Technician,98,3,3,High
717,Research & Development,Healthcare Representative,91,2,4,High
720,Sales,Sales Executive,96,3,3,High
721,Research & Development,Healthcare Representative,98,3,3,High
722,Sales,Sales Executive,98,4,2,High
723,Sales,Sales Executive,98,3,3,High
724,Research & Development,Healthcare Representative,98,4,2,High
725,Research & Development,Manufacturing Director,70,1,3,Medium
727,Research & Development,Research Director,98,4,3,High
728,Sales,Sales Executive,67,1,3,Medium
729,Sales,Sales Executive,67,1,3,Medium
730,Research & Development,Research Director,98,3,3,High
731,Human Resources,Manager,98,4,2,High
732,Sales,Sales Executive,61,1,3,Medium
733,Research & Development,Manufacturing Director,57,1,2,Medium
734,Human Resources,Manager,98,3,3,High
738,Sales,Sales Representative,90,2,3,High
741,Research & Development,Research Scientist,81,2,3,High
742,Research & Development,Research Director,68,1,3,Medium
743,Research & Development,Manufacturing Director,98,3,4,High
744,Research & Development,Laboratory Technician,98,3,3,High
746,Sales,Sales Executive,84,3,2,High
747,Sales,Sales Executive,98,4,2,High
749,Sales,Sales Representative,98,3,3,High
752,Research & Development,Research Scientist,98,3,3,High
754,Sales,Sales Executive,98,4,3,High
757,Research & Development,Healthcare Representative,98,3,3,High
758,Research & Development,Laboratory Technician,72,1,4,Medium
760,Human Resources,Human Resources,62,2,1,Medium
762,Research & Development,Healthcare Representative,98,4,2,High
763,Research & Development,Research Scientist,98,4,2,High
764,Research & Development,Healthcare Representative,50,1,1,Low
766,Sales,Sales Representative,79,2,3,High
769,Research & Development,Laboratory Technician,98,4,3,High
771,Research & Development,Healthcare Representative,82,1,4,High
772,Research & Development,Laboratory Technician,98,4,3,High
773,Research & Development,Research Scientist,80,3,1,High
775,Research & Development,Manufacturing Director,65,1,3,Medium
776,Sales,Manager,71,1,4,Medium
780,Research & Development,Research Scientist,98,4,2,High
781,Sales,Sales Executive,98,4,2,High
783,Sales,Sales Representative,98,3,3,High
784,Research & Development,Research Scientist,98,3,3,High
785,Sales,Sales Executive,98,3,3,High
786,Sales,Sales Executive,98,4,3,High
787,Research & Development,Manager,58,1,3,Medium
789,Sales,Sales Executive,65,1,3,Medium
791,Research & Development,Research Scientist,98,4,3,High
792,Research & Development,Laboratory Technician,98,4,3,High
793,Research & Development,Healthcare Representative,95,3,2,High
796,Sales,Sales Executive,57,1,2,Medium
797,Research & Development,Research Scientist,98,4,3,High
799,Research & Development,Manufacturing Director,67,1,3,Medium
800,Sales,Sales Executive,98,4,3,High
802,Research & Development,Research Scientist,57,1,2,Medium
803,Research & Development,Manufacturing Director,62,1,3,Medium
804,Research & Development,Research Scientist,71,1,3,Medium
805,Sales,Sales Representative,98,4,2,High
806,Research & Development,Laboratory Technician,98,3,3,High
807,Research & Development,Healthcare Representative,84,2,3,High
808,Sales,Sales Executive,69,1,3,Medium
809,Research & Development,Manager,98,4,2,High
811,Research & Development,Laboratory Technician,58,1,3,Medium
812,Research & Development,Laboratory Technician,85,2,3,High
813,Research & Development,Laboratory Technician,98,3,3,High
815,Research & Development,Research Director,94,3,3,High
816,Research & Development,Laboratory Technician,72,1,3,Medium
817,Research & Development,Research Director,98,3,4,High
819,Sales,Sales Executive,71,1,3,Medium
820,Research & Development,Manager,98,4,2,High
823,Research & Development,Manufacturing Director,84,2,3,High
824,Research & Development,Research Scientist,98,3,3,High
825,Research & Development,Research Director,88,2,3,High
826,Research & Development,Research Scientist,98,3,3,High
827,Research & Development,Manufacturing Director,98,4,3,High
828,Research & Development,Research Scientist,96,3,2,High
829,Human Resources,Human Resources,82,2,3,High
