EmployeeID,Year,PerformanceRating,GoalsAchieved,ReviewerNotes
30,2025,3,80%,Consistent delivery with focus on key deliverables.
30,2026,4,81%,Consistent delivery with focus on key deliverables.
31,2024,2,70%,Needs improvement in deadlines and upskilling.
31,2025,4,71%,Consistent delivery with focus on key deliverables.
31,2026,3,86%,Consistent delivery with focus on key deliverables.
32,2024,2,71%,Needs improvement in deadlines and upskilling.
32,2025,4,94%,Consistent delivery with focus on key deliverables.
32,2026,3,88%,Consistent delivery with focus on key deliverables.
33,2024,4,93%,Consistent delivery with focus on key deliverables.
33,2025,4,82%,Consistent delivery with focus on key deliverables.
33,2026,4,95%,Consistent delivery with focus on key deliverables.
35,2024,2,87%,Needs improvement in deadlines and upskilling.
35,2025,3,98%,Consistent delivery with focus on key deliverables.
35,2026,3,93%,Consistent delivery with focus on key deliverables.
36,2024,3,97%,Consistent delivery with focus on key deliverables.
36,2025,4,94%,Consistent delivery with focus on key deliverables.
36,2026,3,96%,Consistent delivery with focus on key deliverables.
38,2024,3,70%,Consistent delivery with focus on key deliverables.
38,2025,4,97%,Consistent delivery with focus on key deliverables.
38,2026,4,82%,Consistent delivery with focus on key deliverables.
39,2024,2,75%,Needs improvement in deadlines and upskilling.
39,2025,3,97%,Consistent delivery with focus on key deliverables.
39,2026,3,79%,Consistent delivery with focus on key deliverables.
40,2024,3,98%,Consistent delivery with focus on key deliverables.
40,2025,3,98%,Consistent delivery with focus on key deliverables.
40,2026,2,72%,Needs improvement in deadlines and upskilling.
41,2024,3,85%,Consistent delivery with focus on key deliverables.
41,2025,3,93%,Consistent delivery with focus on key deliverables.
41,2026,2,73%,Needs improvement in deadlines and upskilling.
42,2024,3,75%,Consistent delivery with focus on key deliverables.
42,2025,2,78%,Needs improvement in deadlines and upskilling.
42,2026,4,94%,Consistent delivery with focus on key deliverables.
45,2024,3,80%,Consistent delivery with focus on key deliverables.
45,2025,2,70%,Needs improvement in deadlines and upskilling.
45,2026,3,97%,Consistent delivery with focus on key deliverables.
46,2024,2,73%,Needs improvement in deadlines and upskilling.
46,2025,2,92%,Needs improvement in deadlines and upskilling.
46,2026,2,86%,Needs improvement in deadlines and upskilling.
47,2024,2,88%,Needs improvement in deadlines and upskilling.
47,2025,3,80%,Consistent delivery with focus on key deliverables.
47,2026,3,91%,Consistent delivery with focus on key deliverables.
49,2024,3,75%,Consistent delivery with focus on key deliverables.
49,2025,3,70%,Consistent delivery with focus on key deliverables.
49,2026,3,71%,Consistent delivery with focus on key deliverables.
51,2024,4,88%,Consistent delivery with focus on key deliverables.
51,2025,2,95%,Needs improvement in deadlines and upskilling.
51,2026,2,90%,Needs improvement in deadlines and upskilling.
52,2024,2,79%,Needs improvement in deadlines and upskilling.
52,2025,3,75%,Consistent delivery with focus on key deliverables.
52,2026,3,72%,Consistent delivery with focus on key deliverables.
53,2024,3,89%,Consistent delivery with focus on key deliverables.
53,2025,4,84%,Consistent delivery with focus on key deliverables.
53,2026,2,97%,Needs improvement in deadlines and upskilling.
54,2024,3,95%,Consistent delivery with focus on key deliverables.
54,2025,4,75%,Consistent delivery with focus on key deliverables.
54,2026,3,79%,Consistent delivery with focus on key deliverables.
55,2024,4,70%,Consistent delivery with focus on key deliverables.
55,2025,3,99%,Consistent delivery with focus on key deliverables.
55,2026,2,85%,Needs improvement in deadlines and upskilling.
56,2024,2,79%,Needs improvement in deadlines and upskilling.
56,2025,4,88%,Consistent delivery with focus on key deliverables.
56,2026,4,77%,Consistent delivery with focus on key deliverables.
57,2024,4,77%,Consistent delivery with focus on key deliverables.
57,2025,4,79%,Consistent delivery with focus on key deliverables.
57,2026,4,79%,Consistent delivery with focus on key deliverables.
58,2024,3,99%,Consistent delivery with focus on key deliverables.
58,2025,4,70%,Consistent delivery with focus on key deliverables.
58,2026,3,88%,Consistent delivery with focus on key deliverables.
60,2024,3,99%,Consistent delivery with focus on key deliverables.
60,2025,4,77%,Consistent delivery with focus on key deliverables.
60,2026,4,71%,Consistent delivery with focus on key deliverables.
61,2024,5,83%,Consistent delivery with focus on key deliverables.
61,2025,3,79%,Consistent delivery with focus on key deliverables.
61,2026,3,98%,Consistent delivery with focus on key deliverables.
62,2024,3,83%,Consistent delivery with focus on key deliverables.
62,2025,4,73%,Consistent delivery with focus on key deliverables.
62,2026,5,88%,Consistent delivery with focus on key deliverables.
63,2024,2,73%,Needs improvement in deadlines and upskilling.
63,2025,3,82%,Consistent delivery with focus on key deliverables.
63,2026,3,87%,Consistent delivery with focus on key deliverables.
64,2024,3,74%,Consistent delivery with focus on key deliverables.
64,2025,2,83%,Needs improvement in deadlines and upskilling.
64,2026,4,93%,Consistent delivery with focus on key deliverables.
65,2024,3,87%,Consistent delivery with focus on key deliverables.
65,2025,3,72%,Consistent delivery with focus on key deliverables.
65,2026,3,73%,Consistent delivery with focus on key deliverables.
68,2024,4,82%,Consistent delivery with focus on key deliverables.
68,2025,3,72%,Consistent delivery with focus on key deliverables.
68,2026,3,84%,Consistent delivery with focus on key deliverables.
70,2024,3,79%,Consistent delivery with focus on key deliverables.
70,2025,3,70%,Consistent delivery with focus on key deliverables.
70,2026,4,96%,Consistent delivery with focus on key deliverables.
72,2024,3,90%,Consistent delivery with focus on key deliverables.
72,2025,3,76%,Consistent delivery with focus on key deliverables.
72,2026,3,72%,Consistent delivery with focus on key deliverables.
73,2024,3,78%,Consistent delivery with focus on key deliverables.
73,2025,4,72%,Consistent delivery with focus on key deliverables.
73,2026,3,74%,Consistent delivery with focus on key deliverables.
74,2024,3,82%,Consistent delivery with focus on key deliverables.
74,2025,4,77%,Consistent delivery with focus on key deliverables.
74,2026,4,99%,Consistent delivery with focus on key deliverables.
75,2024,3,76%,Consistent delivery with focus on key deliverables.
75,2025,3,79%,Consistent delivery with focus on key deliverables.
75,2026,3,92%,Consistent delivery with focus on key deliverables.
76,2024,4,81%,Consistent delivery with focus on key deliverables.
76,2025,4,82%,Consistent delivery with focus on key deliverables.
76,2026,5,86%,Consistent delivery with focus on key deliverables.
77,2024,4,83%,Consistent delivery with focus on key deliverables.
77,2025,2,88%,Needs improvement in deadlines and upskilling.
77,2026,4,78%,Consistent delivery with focus on key deliverables.
78,2024,5,79%,Consistent delivery with focus on key deliverables.
78,2025,3,78%,Consistent delivery with focus on key deliverables.
78,2026,3,93%,Consistent delivery with focus on key deliverables.
79,2024,3,80%,Consistent delivery with focus on key deliverables.
79,2025,3,87%,Consistent delivery with focus on key deliverables.
79,2026,2,92%,Needs improvement in deadlines and upskilling.
80,2024,3,94%,Consistent delivery with focus on key deliverables.
80,2025,3,85%,Consistent delivery with focus on key deliverables.
80,2026,4,85%,Consistent delivery with focus on key deliverables.
81,2024,2,79%,Needs improvement in deadlines and upskilling.
81,2025,2,77%,Needs improvement in deadlines and upskilling.
81,2026,3,72%,Consistent delivery with focus on key deliverables.
83,2024,3,97%,Consistent delivery with focus on key deliverables.
83,2025,3,93%,Consistent delivery with focus on key deliverables.
83,2026,2,71%,Needs improvement in deadlines and upskilling.
84,2024,3,99%,Consistent delivery with focus on key deliverables.
84,2025,3,77%,Consistent delivery with focus on key deliverables.
84,2026,3,77%,Consistent delivery with focus on key deliverables.
85,2024,2,75%,Needs improvement in deadlines and upskilling.
85,2025,3,79%,Consistent delivery with focus on key deliverables.
85,2026,3,97%,Consistent delivery with focus on key deliverables.
86,2024,4,72%,Consistent delivery with focus on key deliverables.
86,2025,4,78%,Consistent delivery with focus on key deliverables.
86,2026,3,85%,Consistent delivery with focus on key deliverables.
88,2024,2,85%,Needs improvement in deadlines and upskilling.
88,2025,3,93%,Consistent delivery with focus on key deliverables.
88,2026,2,86%,Needs improvement in deadlines and upskilling.
90,2024,2,81%,Needs improvement in deadlines and upskilling.
90,2025,3,77%,Consistent delivery with focus on key deliverables.
90,2026,3,96%,Consistent delivery with focus on key deliverables.
91,2024,3,81%,Consistent delivery with focus on key deliverables.
91,2025,3,83%,Consistent delivery with focus on key deliverables.
91,2026,4,92%,Consistent delivery with focus on key deliverables.
94,2024,3,70%,Consistent delivery with focus on key deliverables.
94,2025,3,83%,Consistent delivery with focus on key deliverables.
94,2026,4,85%,Consistent delivery with focus on key deliverables.
95,2024,2,91%,Needs improvement in deadlines and upskilling.
95,2025,2,81%,Needs improvement in deadlines and upskilling.
95,2026,3,91%,Consistent delivery with focus on key deliverables.
96,2024,3,92%,Consistent delivery with focus on key deliverables.
96,2025,3,81%,Consistent delivery with focus on key deliverables.
96,2026,3,99%,Consistent delivery with focus on key deliverables.
97,2024,3,85%,Consistent delivery with focus on key deliverables.
97,2025,2,82%,Needs improvement in deadlines and upskilling.
97,2026,3,97%,Consistent delivery with focus on key deliverables.
98,2024,4,72%,Consistent delivery with focus on key deliverables.
98,2025,3,73%,Consistent delivery with focus on key deliverables.
98,2026,5,84%,Consistent delivery with focus on key deliverables.
100,2024,2,81%,Needs improvement in deadlines and upskilling.
100,2025,3,83%,Consistent delivery with focus on key deliverables.
100,2026,2,73%,Needs improvement in deadlines and upskilling.
101,2024,4,86%,Consistent delivery with focus on key deliverables.
101,2025,3,75%,Consistent delivery with focus on key deliverables.
101,2026,4,82%,Consistent delivery with focus on key deliverables.
102,2024,4,84%,Consistent delivery with focus on key deliverables.
102,2025,3,86%,Consistent delivery with focus on key deliverables.
102,2026,3,79%,Consistent delivery with focus on key deliverables.
103,2024,3,81%,Consistent delivery with focus on key deliverables.
103,2025,3,99%,Consistent delivery with focus on key deliverables.
103,2026,4,92%,Consistent delivery with focus on key deliverables.
104,2024,4,77%,Consistent delivery with focus on key deliverables.
104,2025,4,89%,Consistent delivery with focus on key deliverables.
104,2026,3,97%,Consistent delivery with focus on key deliverables.
105,2024,2,99%,Needs improvement in deadlines and upskilling.
105,2025,3,85%,Consistent delivery with focus on key deliverables.
105,2026,3,74%,Consistent delivery with focus on key deliverables.
106,2024,3,71%,Consistent delivery with focus on key deliverables.
106,2025,2,98%,Needs improvement in deadlines and upskilling.
106,2026,3,80%,Consistent delivery with focus on key deliverables.
107,2024,3,94%,Consistent delivery with focus on key deliverables.
107,2025,2,70%,Needs improvement in deadlines and upskilling.
107,2026,3,74%,Consistent delivery with focus on key deliverables.
110,2024,4,73%,Consistent delivery with focus on key deliverables.
110,2025,3,74%,Consistent delivery with focus on key deliverables.
110,2026,2,93%,Needs improvement in deadlines and upskilling.
112,2024,4,91%,Consistent delivery with focus on key deliverables.
112,2025,3,87%,Consistent delivery with focus on key deliverables.
112,2026,3,86%,Consistent delivery with focus on key deliverables.
113,2024,2,72%,Needs improvement in deadlines and upskilling.
113,2025,3,73%,Consistent delivery with focus on key deliverables.
113,2026,3,78%,Consistent delivery with focus on key deliverables.
116,2024,4,74%,Consistent delivery with focus on key deliverables.
116,2025,5,85%,Consistent delivery with focus on key deliverables.
116,2026,4,78%,Consistent delivery with focus on key deliverables.
117,2024,4,89%,Consistent delivery with focus on key deliverables.
117,2025,3,99%,Consistent delivery with focus on key deliverables.
117,2026,3,86%,Consistent delivery with focus on key deliverables.
118,2024,3,98%,Consistent delivery with focus on key deliverables.
118,2025,3,84%,Consistent delivery with focus on key deliverables.
118,2026,4,78%,Consistent delivery with focus on key deliverables.
119,2024,4,75%,Consistent delivery with focus on key deliverables.
119,2025,4,94%,Consistent delivery with focus on key deliverables.
119,2026,5,89%,Consistent delivery with focus on key deliverables.
120,2024,4,92%,Consistent delivery with focus on key deliverables.
120,2025,5,84%,Consistent delivery with focus on key deliverables.
120,2026,4,94%,Consistent delivery with focus on key deliverables.
121,2024,3,91%,Consistent delivery with focus on key deliverables.
121,2025,3,91%,Consistent delivery with focus on key deliverables.
121,2026,3,77%,Consistent delivery with focus on key deliverables.
124,2024,3,78%,Consistent delivery with focus on key deliverables.
124,2025,3,85%,Consistent delivery with focus on key deliverables.
124,2026,4,72%,Consistent delivery with focus on key deliverables.
125,2024,3,74%,Consistent delivery with focus on key deliverables.
125,2025,3,96%,Consistent delivery with focus on key deliverables.
125,2026,4,71%,Consistent delivery with focus on key deliverables.
126,2024,3,73%,Consistent delivery with focus on key deliverables.
126,2025,3,78%,Consistent delivery with focus on key deliverables.
126,2026,3,92%,Consistent delivery with focus on key deliverables.
128,2024,4,95%,Consistent delivery with focus on key deliverables.
128,2025,5,81%,Consistent delivery with focus on key deliverables.
128,2026,5,78%,Consistent delivery with focus on key deliverables.
129,2024,3,81%,Consistent delivery with focus on key deliverables.
129,2025,4,95%,Consistent delivery with focus on key deliverables.
129,2026,3,94%,Consistent delivery with focus on key deliverables.
131,2024,2,79%,Needs improvement in deadlines and upskilling.
131,2025,2,99%,Needs improvement in deadlines and upskilling.
131,2026,3,79%,Consistent delivery with focus on key deliverables.
132,2024,3,73%,Consistent delivery with focus on key deliverables.
132,2025,2,80%,Needs improvement in deadlines and upskilling.
132,2026,4,91%,Consistent delivery with focus on key deliverables.
133,2024,4,80%,Consistent delivery with focus on key deliverables.
133,2025,4,75%,Consistent delivery with focus on key deliverables.
133,2026,4,71%,Consistent delivery with focus on key deliverables.
134,2024,2,92%,Needs improvement in deadlines and upskilling.
134,2025,3,72%,Consistent delivery with focus on key deliverables.
134,2026,3,97%,Consistent delivery with focus on key deliverables.
137,2024,2,98%,Needs improvement in deadlines and upskilling.
137,2025,4,93%,Consistent delivery with focus on key deliverables.
137,2026,3,90%,Consistent delivery with focus on key deliverables.
138,2024,4,95%,Consistent delivery with focus on key deliverables.
138,2025,3,78%,Consistent delivery with focus on key deliverables.
138,2026,3,72%,Consistent delivery with focus on key deliverables.
139,2024,3,75%,Consistent delivery with focus on key deliverables.
139,2025,4,75%,Consistent delivery with focus on key deliverables.
139,2026,2,77%,Needs improvement in deadlines and upskilling.
140,2024,3,94%,Consistent delivery with focus on key deliverables.
140,2025,5,91%,Consistent delivery with focus on key deliverables.
140,2026,4,87%,Consistent delivery with focus on key deliverables.
141,2024,2,94%,Needs improvement in deadlines and upskilling.
141,2025,4,98%,Consistent delivery with focus on key deliverables.
141,2026,4,87%,Consistent delivery with focus on key deliverables.
142,2024,2,83%,Needs improvement in deadlines and upskilling.
142,2025,3,75%,Consistent delivery with focus on key deliverables.
142,2026,2,76%,Needs improvement in deadlines and upskilling.
143,2024,2,84%,Needs improvement in deadlines and upskilling.
143,2025,2,75%,Needs improvement in deadlines and upskilling.
143,2026,2,81%,Needs improvement in deadlines and upskilling.
144,2024,4,95%,Consistent delivery with focus on key deliverables.
144,2025,3,72%,Consistent delivery with focus on key deliverables.
144,2026,3,89%,Consistent delivery with focus on key deliverables.
145,2024,4,97%,Consistent delivery with focus on key deliverables.
145,2025,4,73%,Consistent delivery with focus on key deliverables.
145,2026,4,86%,Consistent delivery with focus on key deliverables.
147,2024,3,93%,Consistent delivery with focus on key deliverables.
147,2025,4,79%,Consistent delivery with focus on key deliverables.
147,2026,3,73%,Consistent delivery with focus on key deliverables.
148,2024,3,78%,Consistent delivery with focus on key deliverables.
148,2025,4,72%,Consistent delivery with focus on key deliverables.
148,2026,3,91%,Consistent delivery with focus on key deliverables.
150,2024,4,70%,Consistent delivery with focus on key deliverables.
150,2025,4,94%,Consistent delivery with focus on key deliverables.
150,2026,4,96%,Consistent delivery with focus on key deliverables.
151,2024,3,74%,Consistent delivery with focus on key deliverables.
151,2025,3,73%,Consistent delivery with focus on key deliverables.
151,2026,2,94%,Needs improvement in deadlines and upskilling.
152,2024,3,92%,Consistent delivery with focus on key deliverables.
152,2025,4,88%,Consistent delivery with focus on key deliverables.
152,2026,3,88%,Consistent delivery with focus on key deliverables.
153,2024,3,85%,Consistent delivery with focus on key deliverables.
153,2025,3,92%,Consistent delivery with focus on key deliverables.
153,2026,4,83%,Consistent delivery with focus on key deliverables.
154,2024,2,70%,Needs improvement in deadlines and upskilling.
154,2025,3,74%,Consistent delivery with focus on key deliverables.
154,2026,3,99%,Consistent delivery with focus on key deliverables.
155,2024,3,76%,Consistent delivery with focus on key deliverables.
155,2025,3,95%,Consistent delivery with focus on key deliverables.
155,2026,3,91%,Consistent delivery with focus on key deliverables.
158,2024,3,83%,Consistent delivery with focus on key deliverables.
158,2025,3,81%,Consistent delivery with focus on key deliverables.
158,2026,3,70%,Consistent delivery with focus on key deliverables.
159,2024,4,72%,Consistent delivery with focus on key deliverables.
159,2025,5,78%,Consistent delivery with focus on key deliverables.
159,2026,4,83%,Consistent delivery with focus on key deliverables.
160,2024,2,72%,Needs improvement in deadlines and upskilling.
160,2025,4,81%,Consistent delivery with focus on key deliverables.
160,2026,2,90%,Needs improvement in deadlines and upskilling.
161,2024,3,70%,Consistent delivery with focus on key deliverables.
161,2025,3,80%,Consistent delivery with focus on key deliverables.
161,2026,2,91%,Needs improvement in deadlines and upskilling.
162,2024,3,79%,Consistent delivery with focus on key deliverables.
162,2025,3,73%,Consistent delivery with focus on key deliverables.
162,2026,3,74%,Consistent delivery with focus on key deliverables.
163,2024,3,78%,Consistent delivery with focus on key deliverables.
163,2025,2,97%,Needs improvement in deadlines and upskilling.
163,2026,2,84%,Needs improvement in deadlines and upskilling.
164,2024,2,90%,Needs improvement in deadlines and upskilling.
164,2025,3,70%,Consistent delivery with focus on key deliverables.
164,2026,4,92%,Consistent delivery with focus on key deliverables.
165,2024,4,74%,Consistent delivery with focus on key deliverables.
165,2025,3,85%,Consistent delivery with focus on key deliverables.
165,2026,4,94%,Consistent delivery with focus on key deliverables.
167,2024,3,88%,Consistent delivery with focus on key deliverables.
167,2025,3,92%,Consistent delivery with focus on key deliverables.
167,2026,2,71%,Needs improvement in deadlines and upskilling.
169,2024,2,85%,Needs improvement in deadlines and upskilling.
169,2025,3,96%,Consistent delivery with focus on key deliverables.
169,2026,4,88%,Consistent delivery with focus on key deliverables.
170,2024,4,72%,Consistent delivery with focus on key deliverables.
170,2025,3,86%,Consistent delivery with focus on key deliverables.
170,2026,4,78%,Consistent delivery with focus on key deliverables.
171,2024,2,94%,Needs improvement in deadlines and upskilling.
171,2025,2,92%,Needs improvement in deadlines and upskilling.
171,2026,2,94%,Needs improvement in deadlines and upskilling.
174,2024,2,73%,Needs improvement in deadlines and upskilling.
174,2025,3,96%,Consistent delivery with focus on key deliverables.
174,2026,3,81%,Consistent delivery with focus on key deliverables.
175,2024,2,86%,Needs improvement in deadlines and upskilling.
175,2025,4,85%,Consistent delivery with focus on key deliverables.
175,2026,3,82%,Consistent delivery with focus on key deliverables.
176,2024,3,84%,Consistent delivery with focus on key deliverables.
176,2025,2,85%,Needs improvement in deadlines and upskilling.
176,2026,3,96%,Consistent delivery with focus on key deliverables.
177,2024,4,80%,Consistent delivery with focus on key deliverables.
177,2025,4,74%,Consistent delivery with focus on key deliverables.
177,2026,4,95%,Consistent delivery with focus on key deliverables.
178,2024,4,70%,Consistent delivery with focus on key deliverables.
178,2025,4,71%,Consistent delivery with focus on key deliverables.
178,2026,5,98%,Consistent delivery with focus on key deliverables.
179,2024,4,75%,Consistent delivery with focus on key deliverables.
179,2025,4,90%,Consistent delivery with focus on key deliverables.
179,2026,4,83%,Consistent delivery with focus on key deliverables.
182,2024,4,77%,Consistent delivery with focus on key deliverables.
182,2025,4,92%,Consistent delivery with focus on key deliverables.
182,2026,3,89%,Consistent delivery with focus on key deliverables.
183,2024,3,82%,Consistent delivery with focus on key deliverables.
183,2025,2,74%,Needs improvement in deadlines and upskilling.
183,2026,4,79%,Consistent delivery with focus on key deliverables.
184,2024,2,88%,Needs improvement in deadlines and upskilling.
184,2025,2,78%,Needs improvement in deadlines and upskilling.
184,2026,3,74%,Consistent delivery with focus on key deliverables.
190,2024,5,82%,Consistent delivery with focus on key deliverables.
190,2025,4,87%,Consistent delivery with focus on key deliverables.
190,2026,3,84%,Consistent delivery with focus on key deliverables.
192,2024,4,81%,Consistent delivery with focus on key deliverables.
192,2025,4,74%,Consistent delivery with focus on key deliverables.
192,2026,4,74%,Consistent delivery with focus on key deliverables.
193,2024,3,87%,Consistent delivery with focus on key deliverables.
193,2025,4,88%,Consistent delivery with focus on key deliverables.
193,2026,4,79%,Consistent delivery with focus on key deliverables.
194,2024,3,78%,Consistent delivery with focus on key deliverables.
194,2025,3,70%,Consistent delivery with focus on key deliverables.
194,2026,3,94%,Consistent delivery with focus on key deliverables.
195,2024,4,95%,Consistent delivery with focus on key deliverables.
195,2025,3,82%,Consistent delivery with focus on key deliverables.
195,2026,3,75%,Consistent delivery with focus on key deliverables.
197,2024,2,87%,Needs improvement in deadlines and upskilling.
197,2025,3,74%,Consistent delivery with focus on key deliverables.
197,2026,2,98%,Needs improvement in deadlines and upskilling.
198,2024,2,94%,Needs improvement in deadlines and upskilling.
198,2025,3,74%,Consistent delivery with focus on key deliverables.
198,2026,3,72%,Consistent delivery with focus on key deliverables.
199,2024,3,82%,Consistent delivery with focus on key deliverables.
199,2025,3,86%,Consistent delivery with focus on key deliverables.
199,2026,3,74%,Consistent delivery with focus on key deliverables.
200,2024,4,83%,Consistent delivery with focus on key deliverables.
200,2025,4,97%,Consistent delivery with focus on key deliverables.
200,2026,4,76%,Consistent delivery with focus on key deliverables.
201,2024,3,92%,Consistent delivery with focus on key deliverables.
201,2025,4,79%,Consistent delivery with focus on key deliverables.
201,2026,3,99%,Consistent delivery with focus on key deliverables.
202,2024,3,74%,Consistent delivery with focus on key deliverables.
202,2025,4,91%,Consistent delivery with focus on key deliverables.
202,2026,2,81%,Needs improvement in deadlines and upskilling.
204,2024,3,88%,Consistent delivery with focus on key deliverables.
204,2025,2,96%,Needs improvement in deadlines and upskilling.
204,2026,2,94%,Needs improvement in deadlines and upskilling.
205,2024,4,89%,Consistent delivery with focus on key deliverables.
205,2025,3,97%,Consistent delivery with focus on key deliverables.
205,2026,5,78%,Consistent delivery with focus on key deliverables.
206,2024,4,98%,Consistent delivery with focus on key deliverables.
206,2025,3,72%,Consistent delivery with focus on key deliverables.
206,2026,3,76%,Consistent delivery with focus on key deliverables.
207,2024,4,89%,Consistent delivery with focus on key deliverables.
207,2025,4,83%,Consistent delivery with focus on key deliverables.
207,2026,3,78%,Consistent delivery with focus on key deliverables.
208,2024,3,92%,Consistent delivery with focus on key deliverables.
208,2025,3,98%,Consistent delivery with focus on key deliverables.
208,2026,2,98%,Needs improvement in deadlines and upskilling.
211,2024,2,73%,Needs improvement in deadlines and upskilling.
211,2025,2,94%,Needs improvement in deadlines and upskilling.
211,2026,3,85%,Consistent delivery with focus on key deliverables.
214,2024,4,87%,Consistent delivery with focus on key deliverables.
214,2025,3,76%,Consistent delivery with focus on key deliverables.
214,2026,4,75%,Consistent delivery with focus on key deliverables.
215,2024,4,72%,Consistent delivery with focus on key deliverables.
215,2025,2,97%,Needs improvement in deadlines and upskilling.
215,2026,4,74%,Consistent delivery with focus on key deliverables.
216,2024,3,91%,Consistent delivery with focus on key deliverables.
216,2025,2,79%,Needs improvement in deadlines and upskilling.
216,2026,3,73%,Consistent delivery with focus on key deliverables.
217,2024,4,96%,Consistent delivery with focus on key deliverables.
217,2025,4,76%,Consistent delivery with focus on key deliverables.
217,2026,4,80%,Consistent delivery with focus on key deliverables.
218,2024,2,77%,Needs improvement in deadlines and upskilling.
218,2025,4,74%,Consistent delivery with focus on key deliverables.
218,2026,2,76%,Needs improvement in deadlines and upskilling.
221,2024,3,73%,Consistent delivery with focus on key deliverables.
221,2025,3,93%,Consistent delivery with focus on key deliverables.
221,2026,3,71%,Consistent delivery with focus on key deliverables.
223,2024,4,81%,Consistent delivery with focus on key deliverables.
223,2025,3,79%,Consistent delivery with focus on key deliverables.
223,2026,3,95%,Consistent delivery with focus on key deliverables.
224,2024,3,93%,Consistent delivery with focus on key deliverables.
224,2025,2,99%,Needs improvement in deadlines and upskilling.
224,2026,3,92%,Consistent delivery with focus on key deliverables.
226,2024,3,95%,Consistent delivery with focus on key deliverables.
226,2025,3,87%,Consistent delivery with focus on key deliverables.
