EmployeeID,Skill,ProficiencyLevel,LastAssessed
26,Lean Manufacturing,Beginner,2026-03-15
26,Plant Management,Intermediate,2026-03-15
26,Budgeting,Beginner,2026-03-15
27,Git,Intermediate,2026-03-15
27,PowerBI,Intermediate,2026-03-15
27,Python,Intermediate,2026-03-15
28,SQL,Intermediate,2026-03-15
28,PowerBI,Beginner,2026-03-15
28,Python,Advanced,2026-03-15
28,Statistics,Advanced,2026-03-15
30,Deep Learning,Beginner,2026-03-15
30,Machine Learning,Beginner,2026-03-15
30,Python,Intermediate,2026-03-15
30,SQL,Beginner,2026-03-15
30,Docker,Advanced,2026-03-15
30,Statistics,Intermediate,2026-03-15
30,Data Visualization,Intermediate,2026-03-15
31,PowerBI,Intermediate,2026-03-15
31,Deep Learning,Advanced,2026-03-15
31,Python,Intermediate,2026-03-15
31,Statistics,Intermediate,2026-03-15
31,Data Visualization,Intermediate,2026-03-15
32,PowerBI,Intermediate,2026-03-15
32,Python,Beginner,2026-03-15
32,SQL,Advanced,2026-03-15
32,Excel,Advanced,2026-03-15
33,Communication,Beginner,2026-03-15
33,Python,Intermediate,2026-03-15
33,Machine Learning,Beginner,2026-03-15
33,Data Visualization,Intermediate,2026-03-15
35,PowerBI,Beginner,2026-03-15
35,Account Management,Intermediate,2026-03-15
35,Negotiation,Intermediate,2026-03-15
35,B2B Sales,Intermediate,2026-03-15
35,Communication,Beginner,2026-03-15
36,PowerBI,Intermediate,2026-03-15
36,Data Analysis,Intermediate,2026-03-15
36,SQL,Intermediate,2026-03-15
36,Python,Intermediate,2026-03-15
36,Excel,Intermediate,2026-03-15
36,Git,Advanced,2026-03-15
36,Communication,Intermediate,2026-03-15
38,Git,Advanced,2026-03-15
38,SQL,Beginner,2026-03-15
38,Docker,Intermediate,2026-03-15
38,Excel,Advanced,2026-03-15
39,PowerBI,Advanced,2026-03-15
39,Data Analysis,Intermediate,2026-03-15
39,SQL,Intermediate,2026-03-15
39,Python,Intermediate,2026-03-15
39,Excel,Intermediate,2026-03-15
39,Git,Beginner,2026-03-15
40,PowerBI,Beginner,2026-03-15
40,SQL,Intermediate,2026-03-15
40,Python,Beginner,2026-03-15
40,AWS,Intermediate,2026-03-15
40,Excel,Intermediate,2026-03-15
40,Git,Beginner,2026-03-15
40,Communication,Intermediate,2026-03-15
41,PowerBI,Intermediate,2026-03-15
41,Data Analysis,Intermediate,2026-03-15
41,SQL,Advanced,2026-03-15
41,Docker,Intermediate,2026-03-15
41,Excel,Intermediate,2026-03-15
41,Git,Intermediate,2026-03-15
42,PowerBI,Intermediate,2026-03-15
42,SQL,Beginner,2026-03-15
42,Python,Intermediate,2026-03-15
42,Excel,Intermediate,2026-03-15
42,Git,Advanced,2026-03-15
45,Deep Learning,Advanced,2026-03-15
45,Machine Learning,Beginner,2026-03-15
45,SQL,Intermediate,2026-03-15
45,Python,Advanced,2026-03-15
45,Statistics,Beginner,2026-03-15
45,Data Visualization,Advanced,2026-03-15
46,Deep Learning,Intermediate,2026-03-15
46,Machine Learning,Intermediate,2026-03-15
46,PowerBI,Intermediate,2026-03-15
46,SQL,Intermediate,2026-03-15
46,Statistics,Intermediate,2026-03-15
46,Data Visualization,Intermediate,2026-03-15
47,PowerBI,Advanced,2026-03-15
47,SQL,Intermediate,2026-03-15
47,AWS,Beginner,2026-03-15
47,Excel,Intermediate,2026-03-15
47,Git,Intermediate,2026-03-15
49,PowerBI,Intermediate,2026-03-15
49,Data Analysis,Beginner,2026-03-15
49,SQL,Beginner,2026-03-15
49,Python,Intermediate,2026-03-15
49,Docker,Intermediate,2026-03-15
49,Excel,Advanced,2026-03-15
49,Git,Intermediate,2026-03-15
51,Communication,Intermediate,2026-03-15
51,Statistics,Intermediate,2026-03-15
51,Machine Learning,Intermediate,2026-03-15
51,Data Visualization,Intermediate,2026-03-15
52,Account Management,Intermediate,2026-03-15
52,Docker,Intermediate,2026-03-15
52,B2B Sales,Intermediate,2026-03-15
52,Market Analysis,Intermediate,2026-03-15
52,Communication,Beginner,2026-03-15
53,PowerBI,Intermediate,2026-03-15
53,MLOps,Advanced,2026-03-15
53,SQL,Beginner,2026-03-15
53,Python,Intermediate,2026-03-15
53,Excel,Intermediate,2026-03-15
53,Git,Intermediate,2026-03-15
54,PowerBI,Beginner,2026-03-15
54,Data Analysis,Beginner,2026-03-15
54,SQL,Beginner,2026-03-15
54,Python,Intermediate,2026-03-15
54,Git,Intermediate,2026-03-15
55,Data Analysis,Beginner,2026-03-15
55,Python,Intermediate,2026-03-15
55,SQL,Beginner,2026-03-15
55,Docker,Beginner,2026-03-15
55,Excel,Beginner,2026-03-15
55,Git,Beginner,2026-03-15
56,Account Management,Intermediate,2026-03-15
56,CRM,Beginner,2026-03-15
56,B2B Sales,Beginner,2026-03-15
56,Git,Beginner,2026-03-15
56,Market Analysis,Advanced,2026-03-15
56,Communication,Intermediate,2026-03-15
57,PowerBI,Intermediate,2026-03-15
57,SQL,Intermediate,2026-03-15
57,Python,Advanced,2026-03-15
57,Docker,Intermediate,2026-03-15
57,Excel,Beginner,2026-03-15
57,Git,Advanced,2026-03-15
58,PowerBI,Advanced,2026-03-15
58,Python,Intermediate,2026-03-15
58,SQL,Advanced,2026-03-15
58,Excel,Intermediate,2026-03-15
60,Negotiation,Advanced,2026-03-15
60,CRM,Intermediate,2026-03-15
60,AWS,Intermediate,2026-03-15
60,Statistics,Intermediate,2026-03-15
60,B2B Sales,Intermediate,2026-03-15
60,Market Analysis,Intermediate,2026-03-15
60,Communication,Intermediate,2026-03-15
61,Deep Learning,Intermediate,2026-03-15
61,MLOps,Intermediate,2026-03-15
61,Machine Learning,Intermediate,2026-03-15
61,Python,Advanced,2026-03-15
61,Data Visualization,Intermediate,2026-03-15
62,Account Management,Intermediate,2026-03-15
62,Negotiation,Intermediate,2026-03-15
62,Python,Intermediate,2026-03-15
62,CRM,Advanced,2026-03-15
62,B2B Sales,Intermediate,2026-03-15
62,Market Analysis,Advanced,2026-03-15
62,Communication,Beginner,2026-03-15
63,PowerBI,Intermediate,2026-03-15
63,Python,Advanced,2026-03-15
63,SQL,Intermediate,2026-03-15
63,AWS,Intermediate,2026-03-15
63,Excel,Beginner,2026-03-15
63,Git,Intermediate,2026-03-15
64,Git,Advanced,2026-03-15
64,Python,Intermediate,2026-03-15
64,PowerBI,Advanced,2026-03-15
64,Excel,Intermediate,2026-03-15
65,SQL,Intermediate,2026-03-15
65,Python,Intermediate,2026-03-15
65,Statistics,Advanced,2026-03-15
65,Excel,Advanced,2026-03-15
65,Git,Intermediate,2026-03-15
68,Communication,Beginner,2026-03-15
68,Market Analysis,Beginner,2026-03-15
68,Account Management,Advanced,2026-03-15
70,Git,Beginner,2026-03-15
70,PowerBI,Beginner,2026-03-15
70,SQL,Intermediate,2026-03-15
70,Docker,Intermediate,2026-03-15
72,Account Management,Intermediate,2026-03-15
72,MLOps,Intermediate,2026-03-15
72,Negotiation,Beginner,2026-03-15
72,CRM,Beginner,2026-03-15
72,B2B Sales,Advanced,2026-03-15
72,Market Analysis,Beginner,2026-03-15
72,Communication,Intermediate,2026-03-15
73,PowerBI,Intermediate,2026-03-15
73,SQL,Intermediate,2026-03-15
73,Python,Intermediate,2026-03-15
73,Statistics,Advanced,2026-03-15
73,Excel,Intermediate,2026-03-15
73,AWS,Intermediate,2026-03-15
73,Git,Intermediate,2026-03-15
74,Negotiation,Intermediate,2026-03-15
74,CRM,Intermediate,2026-03-15
74,AWS,Advanced,2026-03-15
74,Statistics,Beginner,2026-03-15
74,B2B Sales,Intermediate,2026-03-15
75,Python,Intermediate,2026-03-15
75,SQL,Beginner,2026-03-15
75,AWS,Intermediate,2026-03-15
75,Excel,Intermediate,2026-03-15
76,PowerBI,Beginner,2026-03-15
76,Data Analysis,Intermediate,2026-03-15
76,SQL,Intermediate,2026-03-15
76,Python,Intermediate,2026-03-15
76,Excel,Intermediate,2026-03-15
76,Git,Intermediate,2026-03-15
77,Supply Chain,Beginner,2026-03-15
77,SQL,Intermediate,2026-03-15
77,Six Sigma,Intermediate,2026-03-15
77,Plant Management,Advanced,2026-03-15
77,Budgeting,Intermediate,2026-03-15
78,Supply Chain,Intermediate,2026-03-15
78,Lean Manufacturing,Beginner,2026-03-15
78,SQL,Intermediate,2026-03-15
78,Six Sigma,Beginner,2026-03-15
78,Docker,Beginner,2026-03-15
78,Plant Management,Beginner,2026-03-15
78,Budgeting,Advanced,2026-03-15
79,PowerBI,Intermediate,2026-03-15
79,Data Analysis,Intermediate,2026-03-15
79,Python,Beginner,2026-03-15
79,SQL,Beginner,2026-03-15
79,Excel,Intermediate,2026-03-15
79,Git,Intermediate,2026-03-15
80,PowerBI,Advanced,2026-03-15
80,SQL,Intermediate,2026-03-15
80,Excel,Intermediate,2026-03-15
80,Git,Intermediate,2026-03-15
80,Communication,Intermediate,2026-03-15
81,Negotiation,Beginner,2026-03-15
81,Statistics,Beginner,2026-03-15
81,B2B Sales,Intermediate,2026-03-15
81,Git,Intermediate,2026-03-15
81,Communication,Intermediate,2026-03-15
83,Git,Intermediate,2026-03-15
83,Python,Beginner,2026-03-15
83,PowerBI,Intermediate,2026-03-15
83,Excel,Intermediate,2026-03-15
84,PowerBI,Advanced,2026-03-15
84,Python,Intermediate,2026-03-15
84,SQL,Advanced,2026-03-15
84,Excel,Beginner,2026-03-15
84,Communication,Beginner,2026-03-15
85,Supply Chain,Intermediate,2026-03-15
85,Six Sigma,Intermediate,2026-03-15
85,Statistics,Beginner,2026-03-15
85,AWS,Advanced,2026-03-15
85,Budgeting,Intermediate,2026-03-15
86,Communication,Beginner,2026-03-15
86,Deep Learning,Intermediate,2026-03-15
86,Machine Learning,Intermediate,2026-03-15
86,Data Visualization,Intermediate,2026-03-15
88,SQL,Intermediate,2026-03-15
88,Python,Advanced,2026-03-15
88,Machine Learning,Intermediate,2026-03-15
90,Deep Learning,Advanced,2026-03-15
90,Machine Learning,Intermediate,2026-03-15
90,PowerBI,Beginner,2026-03-15
90,SQL,Intermediate,2026-03-15
90,Statistics,Beginner,2026-03-15
90,Data Visualization,Intermediate,2026-03-15
91,Account Management,Advanced,2026-03-15
91,Negotiation,Beginner,2026-03-15
91,CRM,Beginner,2026-03-15
91,B2B Sales,Beginner,2026-03-15
91,Communication,Advanced,2026-03-15
94,Deep Learning,Intermediate,2026-03-15
94,Machine Learning,Beginner,2026-03-15
94,Python,Beginner,2026-03-15
94,Statistics,Intermediate,2026-03-15
94,Data Visualization,Intermediate,2026-03-15
95,Machine Learning,Intermediate,2026-03-15
95,SQL,Intermediate,2026-03-15
95,Statistics,Intermediate,2026-03-15
95,Communication,Beginner,2026-03-15
95,Data Visualization,Beginner,2026-03-15
96,Machine Learning,Advanced,2026-03-15
96,Data Analysis,Intermediate,2026-03-15
96,Python,Intermediate,2026-03-15
96,SQL,Intermediate,2026-03-15
96,Statistics,Advanced,2026-03-15
97,PowerBI,Beginner,2026-03-15
97,SQL,Advanced,2026-03-15
97,Python,Intermediate,2026-03-15
97,Statistics,Intermediate,2026-03-15
97,Excel,Beginner,2026-03-15
97,Git,Intermediate,2026-03-15
98,Supply Chain,Intermediate,2026-03-15
98,Lean Manufacturing,Beginner,2026-03-15
98,Data Analysis,Intermediate,2026-03-15
98,Six Sigma,Intermediate,2026-03-15
98,Plant Management,Intermediate,2026-03-15
98,Budgeting,Beginner,2026-03-15
100,B2B Sales,Advanced,2026-03-15
100,Python,Intermediate,2026-03-15
100,Communication,Beginner,2026-03-15
100,Negotiation,Beginner,2026-03-15
101,SQL,Intermediate,2026-03-15
101,Python,Beginner,2026-03-15
101,Communication,Advanced,2026-03-15
101,Excel,Intermediate,2026-03-15
102,SQL,Advanced,2026-03-15
102,Git,Beginner,2026-03-15
102,PowerBI,Intermediate,2026-03-15
102,Excel,Advanced,2026-03-15
103,Git,Intermediate,2026-03-15
103,PowerBI,Advanced,2026-03-15
103,SQL,Advanced,2026-03-15
103,Docker,Beginner,2026-03-15
104,PowerBI,Intermediate,2026-03-15
104,SQL,Beginner,2026-03-15
104,Python,Intermediate,2026-03-15
104,Excel,Beginner,2026-03-15
104,Git,Intermediate,2026-03-15
105,Deep Learning,Intermediate,2026-03-15
105,Machine Learning,Intermediate,2026-03-15
105,SQL,Beginner,2026-03-15
105,Python,Intermediate,2026-03-15
105,Statistics,Beginner,2026-03-15
105,AWS,Beginner,2026-03-15
105,Data Visualization,Advanced,2026-03-15
106,Account Management,Intermediate,2026-03-15
106,Negotiation,Intermediate,2026-03-15
106,Python,Intermediate,2026-03-15
106,CRM,Advanced,2026-03-15
106,B2B Sales,Beginner,2026-03-15
106,Market Analysis,Intermediate,2026-03-15
106,Communication,Beginner,2026-03-15
107,Deep Learning,Intermediate,2026-03-15
107,Machine Learning,Intermediate,2026-03-15
107,Data Analysis,Beginner,2026-03-15
107,SQL,Advanced,2026-03-15
107,Python,Intermediate,2026-03-15
107,Statistics,Beginner,2026-03-15
107,Communication,Intermediate,2026-03-15
107,Data Visualization,Intermediate,2026-03-15
110,Plant Management,Intermediate,2026-03-15
110,Git,Intermediate,2026-03-15
110,Six Sigma,Beginner,2026-03-15
110,Budgeting,Intermediate,2026-03-15
112,Supply Chain,Beginner,2026-03-15
112,Lean Manufacturing,Intermediate,2026-03-15
112,Python,Beginner,2026-03-15
112,Six Sigma,Intermediate,2026-03-15
112,Plant Management,Advanced,2026-03-15
112,Budgeting,Intermediate,2026-03-15
113,Python,Intermediate,2026-03-15
113,PowerBI,Intermediate,2026-03-15
113,Communication,Intermediate,2026-03-15
113,Excel,Beginner,2026-03-15
116,PowerBI,Intermediate,2026-03-15
116,SQL,Intermediate,2026-03-15
116,Python,Advanced,2026-03-15
116,Excel,Intermediate,2026-03-15
116,Git,Beginner,2026-03-15
117,PowerBI,Intermediate,2026-03-15
117,SQL,Intermediate,2026-03-15
117,Python,Advanced,2026-03-15
117,Docker,Intermediate,2026-03-15
117,Excel,Intermediate,2026-03-15
117,Git,Advanced,2026-03-15
118,Account Management,Intermediate,2026-03-15
118,Negotiation,Beginner,2026-03-15
118,CRM,Beginner,2026-03-15
118,Statistics,Intermediate,2026-03-15
118,B2B Sales,Intermediate,2026-03-15
118,Market Analysis,Intermediate,2026-03-15
118,Communication,Advanced,2026-03-15
119,Git,Advanced,2026-03-15
119,Python,Intermediate,2026-03-15
119,SQL,Intermediate,2026-03-15
119,AWS,Intermediate,2026-03-15
120,Account Management,Beginner,2026-03-15
120,MLOps,Intermediate,2026-03-15
120,Negotiation,Intermediate,2026-03-15
120,CRM,Intermediate,2026-03-15
120,B2B Sales,Intermediate,2026-03-15
120,Market Analysis,Advanced,2026-03-15
120,Communication,Advanced,2026-03-15
121,Account Management,Beginner,2026-03-15
121,MLOps,Beginner,2026-03-15
121,CRM,Intermediate,2026-03-15
121,Statistics,Advanced,2026-03-15
121,B2B Sales,Beginner,2026-03-15
121,Market Analysis,Intermediate,2026-03-15
124,Git,Intermediate,2026-03-15
124,Python,Advanced,2026-03-15
124,SQL,Beginner,2026-03-15
124,PowerBI,Beginner,2026-03-15
125,Account Management,Advanced,2026-03-15
125,MLOps,Intermediate,2026-03-15
125,Negotiation,Advanced,2026-03-15
125,B2B Sales,Advanced,2026-03-15
125,Market Analysis,Intermediate,2026-03-15
125,Communication,Intermediate,2026-03-15
126,SQL,Intermediate,2026-03-15
126,Python,Intermediate,2026-03-15
126,PowerBI,Advanced,2026-03-15
126,Excel,Beginner,2026-03-15
128,Account Management,Beginner,2026-03-15
128,Negotiation,Beginner,2026-03-15
128,CRM,Intermediate,2026-03-15
128,Docker,Beginner,2026-03-15
128,Market Analysis,Intermediate,2026-03-15
128,Communication,Advanced,2026-03-15
129,Account Management,Intermediate,2026-03-15
129,Negotiation,Advanced,2026-03-15
129,SQL,Advanced,2026-03-15
129,Docker,Intermediate,2026-03-15
129,B2B Sales,Intermediate,2026-03-15
129,Market Analysis,Intermediate,2026-03-15
129,Communication,Intermediate,2026-03-15
131,Account Management,Intermediate,2026-03-15
131,Negotiation,Beginner,2026-03-15
131,Data Analysis,Beginner,2026-03-15
131,CRM,Intermediate,2026-03-15
131,B2B Sales,Advanced,2026-03-15
131,Communication,Intermediate,2026-03-15
132,Git,Intermediate,2026-03-15
132,Python,Advanced,2026-03-15
132,PowerBI,Beginner,2026-03-15
132,Excel,Intermediate,2026-03-15
133,Git,Beginner,2026-03-15
133,SQL,Advanced,2026-03-15
133,MLOps,Advanced,2026-03-15
133,Excel,Intermediate,2026-03-15
134,SQL,Advanced,2026-03-15
134,Deep Learning,Intermediate,2026-03-15
134,Machine Learning,Beginner,2026-03-15
134,Statistics,Intermediate,2026-03-15
137,PowerBI,Intermediate,2026-03-15
137,Python,Intermediate,2026-03-15
137,SQL,Advanced,2026-03-15
137,Docker,Intermediate,2026-03-15
137,Excel,Advanced,2026-03-15
137,Git,Beginner,2026-03-15
138,Deep Learning,Beginner,2026-03-15
138,Machine Learning,Intermediate,2026-03-15
138,Data Analysis,Intermediate,2026-03-15
138,SQL,Beginner,2026-03-15
138,Python,Beginner,2026-03-15
138,Statistics,Intermediate,2026-03-15
139,PowerBI,Intermediate,2026-03-15
139,SQL,Intermediate,2026-03-15
139,Python,Intermediate,2026-03-15
139,Docker,Advanced,2026-03-15
139,Excel,Advanced,2026-03-15
139,Git,Advanced,2026-03-15
140,PowerBI,Advanced,2026-03-15
140,SQL,Intermediate,2026-03-15
140,Python,Intermediate,2026-03-15
140,Excel,Intermediate,2026-03-15
140,Git,Intermediate,2026-03-15
141,PowerBI,Intermediate,2026-03-15
141,Python,Intermediate,2026-03-15
141,Excel,Intermediate,2026-03-15
141,Git,Intermediate,2026-03-15
141,Communication,Beginner,2026-03-15
142,Negotiation,Beginner,2026-03-15
142,CRM,Advanced,2026-03-15
142,AWS,Intermediate,2026-03-15
142,B2B Sales,Advanced,2026-03-15
142,Market Analysis,Intermediate,2026-03-15
142,Communication,Intermediate,2026-03-15
143,Deep Learning,Advanced,2026-03-15
143,Machine Learning,Intermediate,2026-03-15
143,Python,Intermediate,2026-03-15
143,SQL,Intermediate,2026-03-15
143,Statistics,Beginner,2026-03-15
143,Communication,Intermediate,2026-03-15
143,Data Visualization,Beginner,2026-03-15
144,PowerBI,Intermediate,2026-03-15
144,MLOps,Advanced,2026-03-15
144,SQL,Intermediate,2026-03-15
144,Python,Intermediate,2026-03-15
144,AWS,Intermediate,2026-03-15
144,Excel,Intermediate,2026-03-15
144,Git,Beginner,2026-03-15
145,Git,Intermediate,2026-03-15
145,Python,Intermediate,2026-03-15
145,SQL,Beginner,2026-03-15
145,Excel,Advanced,2026-03-15
147,PowerBI,Intermediate,2026-03-15
147,Data Analysis,Intermediate,2026-03-15
147,SQL,Intermediate,2026-03-15
147,Python,Intermediate,2026-03-15
147,Excel,Intermediate,2026-03-15
148,PowerBI,Intermediate,2026-03-15
148,Python,Intermediate,2026-03-15
148,SQL,Beginner,2026-03-15
148,Excel,Intermediate,2026-03-15
148,Git,Intermediate,2026-03-15
150,Git,Intermediate,2026-03-15
150,PowerBI,Intermediate,2026-03-15
150,Python,Intermediate,2026-03-15
150,Excel,Advanced,2026-03-15
151,Deep Learning,Beginner,2026-03-15
151,MLOps,Beginner,2026-03-15
151,Python,Intermediate,2026-03-15
151,SQL,Intermediate,2026-03-15
151,Data Visualization,Beginner,2026-03-15
152,Account Management,Intermediate,2026-03-15
152,Negotiation,Intermediate,2026-03-15
152,Python,Advanced,2026-03-15
152,CRM,Intermediate,2026-03-15
152,B2B Sales,Intermediate,2026-03-15
152,Market Analysis,Intermediate,2026-03-15
152,Communication,Intermediate,2026-03-15
153,SQL,Intermediate,2026-03-15
153,Git,Beginner,2026-03-15
153,Python,Intermediate,2026-03-15
153,MLOps,Intermediate,2026-03-15
154,Account Management,Intermediate,2026-03-15
154,Negotiation,Intermediate,2026-03-15
154,Python,Intermediate,2026-03-15
154,CRM,Intermediate,2026-03-15
154,B2B Sales,Intermediate,2026-03-15
154,Market Analysis,Beginner,2026-03-15
154,Communication,Beginner,2026-03-15
155,PowerBI,Advanced,2026-03-15
155,Python,Advanced,2026-03-15
155,SQL,Intermediate,2026-03-15
155,Statistics,Advanced,2026-03-15
155,Excel,Intermediate,2026-03-15
155,Git,Intermediate,2026-03-15
158,PowerBI,Intermediate,2026-03-15
158,SQL,Intermediate,2026-03-15
158,Python,Intermediate,2026-03-15
158,Docker,Beginner,2026-03-15
158,Excel,Intermediate,2026-03-15
158,Git,Beginner,2026-03-15
159,Machine Learning,Beginner,2026-03-15
159,Python,Intermediate,2026-03-15
159,SQL,Intermediate,2026-03-15
159,Statistics,Beginner,2026-03-15
159,Excel,Intermediate,2026-03-15
159,Data Visualization,Beginner,2026-03-15
160,Account Management,Intermediate,2026-03-15
160,Negotiation,Advanced,2026-03-15
160,SQL,Intermediate,2026-03-15
160,CRM,Intermediate,2026-03-15
160,Market Analysis,Advanced,2026-03-15
161,Deep Learning,Intermediate,2026-03-15
161,Machine Learning,Beginner,2026-03-15
161,Python,Beginner,2026-03-15
161,Git,Intermediate,2026-03-15
161,Communication,Intermediate,2026-03-15
161,Data Visualization,Advanced,2026-03-15
162,PowerBI,Intermediate,2026-03-15
162,SQL,Advanced,2026-03-15
162,Python,Intermediate,2026-03-15
162,Excel,Intermediate,2026-03-15
162,Communication,Intermediate,2026-03-15
163,Account Management,Intermediate,2026-03-15
163,Negotiation,Intermediate,2026-03-15
163,Excel,Intermediate,2026-03-15
163,B2B Sales,Intermediate,2026-03-15
163,Market Analysis,Beginner,2026-03-15
163,Communication,Intermediate,2026-03-15
164,Data Analysis,Intermediate,2026-03-15
164,SQL,Advanced,2026-03-15
164,Python,Intermediate,2026-03-15
164,Statistics,Intermediate,2026-03-15
164,Data Visualization,Beginner,2026-03-15
165,PowerBI,Intermediate,2026-03-15
165,Data Analysis,Intermediate,2026-03-15
165,SQL,Intermediate,2026-03-15
165,Python,Beginner,2026-03-15
165,Excel,Intermediate,2026-03-15
165,Git,Advanced,2026-03-15
167,PowerBI,Intermediate,2026-03-15
167,SQL,Advanced,2026-03-15
167,Python,Beginner,2026-03-15
167,Excel,Intermediate,2026-03-15
167,Communication,Beginner,2026-03-15
169,PowerBI,Advanced,2026-03-15
169,Python,Intermediate,2026-03-15
169,SQL,Intermediate,2026-03-15
169,AWS,Advanced,2026-03-15
169,Excel,Intermediate,2026-03-15
169,Git,Intermediate,2026-03-15
170,Lean Manufacturing,Advanced,2026-03-15
170,Python,Advanced,2026-03-15
170,Six Sigma,Intermediate,2026-03-15
170,Communication,Advanced,2026-03-15
170,Budgeting,Intermediate,2026-03-15
171,Machine Learning,Advanced,2026-03-15
171,SQL,Intermediate,2026-03-15
171,Python,Advanced,2026-03-15
171,Statistics,Beginner,2026-03-15
171,Git,Intermediate,2026-03-15
171,Communication,Advanced,2026-03-15
171,Data Visualization,Advanced,2026-03-15
174,Account Management,Beginner,2026-03-15
174,Negotiation,Advanced,2026-03-15
174,Data Analysis,Intermediate,2026-03-15
174,CRM,Beginner,2026-03-15
174,B2B Sales,Intermediate,2026-03-15
174,Market Analysis,Intermediate,2026-03-15
174,Communication,Beginner,2026-03-15
175,Account Management,Advanced,2026-03-15
175,MLOps,Intermediate,2026-03-15
175,Negotiation,Intermediate,2026-03-15
175,CRM,Intermediate,2026-03-15
175,B2B Sales,Beginner,2026-03-15
175,Market Analysis,Intermediate,2026-03-15
176,Account Management,Advanced,2026-03-15
176,Negotiation,Intermediate,2026-03-15
